Monthyear,incident,Year,Month
201407,22,2014,07
201408,27,2014,08
201401,27,2014,01
201402,28,2014,02
201405,36,2014,05
201406,31,2014,06
201409,25,2014,09
201412,24,2014,12
201404,27,2014,04
201403,27,2014,03
201508,27,2015,08
201501,22,2015,01
201507,23,2015,07
201510,27,2015,10
201503,29,2015,03
201506,31,2015,06
201505,31,2015,05
201502,22,2015,02
201512,33,2015,12
201509,23,2015,09
201504,37,2015,04
201511,25,2015,11
201603,6,2016,03
201612,25,2016,12
201608,30,2016,08
201605,29,2016,05
201604,31,2016,04
201610,27,2016,10
201602,10,2016,02
201607,34,2016,07
201601,4,2016,01
201606,23,2016,06
201611,34,2016,11
201609,29,2016,09
201703,55,2017,03
201702,47,2017,02
201711,43,2017,11
201710,60,2017,10
201707,40,2017,07
201709,38,2017,09
201704,26,2017,04
201706,56,2017,06
201712,24,2017,12
201708,40,2017,08
201701,27,2017,01
201705,39,2017,05
