Monthyear,incident,Year,Month
201412,380,2014,12
201409,490,2014,9
201405,512,2014,5
201410,548,2014,10
201401,324,2014,1
201402,383,2014,2
201407,505,2014,7
201406,504,2014,6
201408,550,2014,8
201411,366,2014,11
201503,437,2015,3
201506,562,2015,6
201507,592,2015,7
201511,462,2015,11
201504,512,2015,4
201501,412,2015,1
201512,457,2015,12
201502,364,2015,2
201508,544,2015,8
201505,558,2015,5
201509,481,2015,9
201510,469,2015,10
201602,377,2016,2
201603,490,2016,3
201604,478,2016,4
201606,525,2016,6
201608,512,2016,8
201609,531,2016,9
201610,552,2016,10
201605,481,2016,5
201601,376,2016,1
201611,735,2016,11
201612,460,2016,12
201607,604,2016,7
201703,632,2017,3
201701,544,2017,1
201706,641,2017,6
201707,580,2017,7
201708,663,2017,8
201710,642,2017,10
201709,631,2017,9
201702,576,2017,2
201711,579,2017,11
201712,479,2017,12
201704,560,2017,4
201705,648,2017,5
